"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:35:37.4312251 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\XAML\OneCoreTransformsEnabledByDefault","NAME NOT FOUND","Length: 16"
"10:35:37.4312481 PM","notepad.exe","5324","RegCloseKey","HKLM\SOFTWARE\Microsoft\XAML","SUCCESS",""
"10:35:37.4362966 PM","notepad.exe","5324","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Appx","SUCCESS","Desired Access: Read"
"10:35:37.4363578 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\Appx\AllowDevelopmentWithoutDevLicense","NAME NOT FOUND","Length: 24"
"10:35:37.4363902 PM","notepad.exe","5324","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Appx","SUCCESS",""
"10:35:37.4364197 PM","notepad.exe","5324","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModelUnlock","SUCCESS","Desired Access: Read"
"10:35:37.4364518 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModelUnlock\AllowDevelopmentWithoutDevLicense","NAME NOT FOUND","Length: 24"
"10:35:37.4364748 PM","notepad.exe","5324","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModelUnlock","SUCCESS",""
"10:35:37.4371629 PM","notepad.exe","5324","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4371903 PM","notepad.exe","5324","RegOpenKey","HKLM\Software\Microsoft\OLE\AppCompat","SUCCESS","Desired Access: Read"
"10:35:37.4372302 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\AppCompat\RaiseActivationAuthenticationLevel","NAME NOT FOUND","Length: 16"
"10:35:37.4372574 PM","notepad.exe","5324","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole\AppCompat","SUCCESS",""
"10:35:37.4373112 PM","notepad.exe","5324","RegOpenKey","HKCU\Software\Classes","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"10:35:37.4373463 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"10:35:37.4373752 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4373917 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4374106 PM","notepad.exe","5324","RegOpenKey","HKCU\Software\Classes\AppID\notepad.exe","NAME NOT FOUND","Desired Access: Read"
"10:35:37.4374454 PM","notepad.exe","5324","RegOpenKey","HKCR\AppID\notepad.exe","NAME NOT FOUND","Desired Access: Read"
"10:35:37.4375600 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
