"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:02:01.0294182 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wow64\x86\04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","NAME NOT FOUND","Length: 520"
"9:02:01.0294526 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wow64\x86\(Default)","SUCCESS","Type: REG_SZ, Length: 26, Data: wow64cpu.dll"
"9:02:01.0294808 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wow64\x86","SUCCESS",""
"9:02:01.0296317 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","Load Image","C:\Windows\System32\wow64cpu.dll","SUCCESS","Image Base: 0x77c00000, Image Size: 0xa000"
"9:02:01.0301995 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"9:02:01.0302294 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"9:02:01.0302621 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:02:01.0302865 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"9:02:01.0303173 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"9:02:01.0304597 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value"
"9:02:01.0307225 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"9:02:01.0309309 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"9:02:01.0309562 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"9:02:01.0309926 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:02:01.0310137 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"9:02:01.0310483 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"9:02:01.0318578 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","CreateFile","C:\Users\akshobdhira\Desktop","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:02:01.0320573 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","Load Image","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Image Base: 0x76340000, Image Size: 0xf0000"
"9:02:01.0323439 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","Load Image","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","Image Base: 0x75cc0000, Image Size: 0x23a000"
"9:02:01.0340301 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","REPARSE","Desired Access: Read"
"9:02:01.0340590 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","NAME NOT FOUND","Desired Access: Read"
"9:02:01.0345750 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"9:02:01.0346020 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"9:02:01.0346356 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"9:02:01.0346532 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"9:02:01.0346882 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\Windows\Safer\CodeIdentifiers","REPARSE","Desired Access: Query Value"
"9:02:01.0348213 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"9:02:01.0348598 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegSetInfoKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:02:01.0348816 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"9:02:01.0349111 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"9:02:01.0349527 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"9:02:01.0351643 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"9:02:01.0351850 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"9:02:01.0352836 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:02:01.0353033 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"9:02:01.0353315 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
"9:02:01.0366003 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","Thread Create","","SUCCESS","Thread ID: 5276"
"9:02:01.0367339 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","Load Image","C:\Windows\SysWOW64\shell32.dll","SUCCESS","Image Base: 0x775d0000, Image Size: 0x5b7000"
"9:02:01.0370221 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","Load Image","C:\Windows\SysWOW64\msvcp_win.dll","SUCCESS","Image Base: 0x770a0000, Image Size: 0x7b000"
"9:02:01.0372330 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","Load Image","C:\Windows\SysWOW64\ucrtbase.dll","SUCCESS","Image Base: 0x75ab0000, Image Size: 0x120000"
"9:02:01.0379588 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","Load Image","C:\Windows\SysWOW64\user32.dll","SUCCESS","Image Base: 0x76a80000, Image Size: 0x19c000"
"9:02:01.0382018 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","Load Image","C:\Windows\SysWOW64\win32u.dll","SUCCESS","Image Base: 0x773d0000, Image Size: 0x18000"
