"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:52:34.1274531 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\##?#hdaudio#func_01&ven_15ad&dev_1975&subsys_15ad1975&rev_1001#5&217be3d6&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\#elineouttopo","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"9:52:34.1274995 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\##?#HDAUDIO#FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001#5&217be3d6&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\#eLineOutTopo\Properties\{840b8171-b0ad-410f-8581-cccc0382cfef}\0000","SUCCESS","Desired Access: Query Value"
"9:52:34.1275771 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\##?#HDAUDIO#FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001#5&217be3d6&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\#eLineOutTopo\Properties\{840b8171-b0ad-410f-8581-cccc0382cfef}\0000\(Default)","SUCCESS","Type: <Unknown: 4294905859>, Length: 148, Data: "
"9:52:34.1276190 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\##?#HDAUDIO#FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001#5&217be3d6&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\#eLineOutTopo\Properties\{840b8171-b0ad-410f-8581-cccc0382cfef}\0000","SUCCESS",""
"9:52:34.1276550 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\##?#HDAUDIO#FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001#5&217be3d6&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\#eLineOutTopo","SUCCESS",""
"9:52:34.1280472 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Enum\HDAUDIO\FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001\5&217be3d6&0&0001","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"9:52:34.1281103 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HDAUDIO\FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001\5&217be3d6&0&0001\Driver","SUCCESS","Type: REG_SZ, Length: 88, Data: {4d36e96c-e325-11ce-bfc1-08002be10318}\0000"
"9:52:34.1282351 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Enum\HDAUDIO\FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001\5&217be3d6&0&0001","SUCCESS",""
"9:52:34.1282896 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e96c-e325-11ce-bfc1-08002be10318}\0000","SUCCESS","Desired Access: Read"
"9:52:34.1283591 AM","AUDIODG.EXE","1768","RegQueryKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e96c-e325-11ce-bfc1-08002be10318}\0000","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:34.1283970 AM","AUDIODG.EXE","1768","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e96c-e325-11ce-bfc1-08002be10318}\0000","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:52:34.1284434 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e96c-e325-11ce-bfc1-08002be10318}\0000\MediaCategories\{185fedff-9905-11d1-95a9-00c04fb925d3}","NAME NOT FOUND","Desired Access: Read"
"9:52:34.1284950 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e96c-e325-11ce-bfc1-08002be10318}\0000","SUCCESS",""
"9:52:34.1285385 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\MediaCategories\{185fedff-9905-11d1-95a9-00c04fb925d3}","REPARSE","Desired Access: Read"
